127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
127.0.0.1 - - [20/Aug/2022:12:17:00 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
127.0.0.1 - - [20/Aug/2022:12:17:01 +0530] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
127.0.0.1 - - [20/Aug/2022:12:17:01 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:12:17:01 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
